date,count,day,day_abc,col_no,ID,treat,q.activity,active,response,buzzing,charging,butting,grappling,stinging,aggression,eggs,treat_activity,treat_response
02/04/2019,3,2,a1.2,52,CR1.1,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
02/04/2019,3,2,a1.2,53,CR1.3,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,55,CR1.19,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,56,TR1.14,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
02/04/2019,3,2,a1.2,57,CR1.14,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
02/04/2019,3,2,a1.2,58,CR2.13,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,59,CR1.5,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,60,TR2.1,R,b,FALSE,FALSE,0,0,0,0,0,0,0,R_Inactive,R_NoResponse
02/04/2019,3,2,a1.2,61,TR1.18,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
02/04/2019,3,2,a1.2,63,CR2.15,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
02/04/2019,3,2,a1.2,64,CR2.10,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,65,CR1.20,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
02/04/2019,3,2,a1.2,66,TR2.3,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
02/04/2019,3,2,a1.2,67,TR1.1,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
02/04/2019,3,2,a1.2,68,CR2.7,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
02/04/2019,3,2,a1.2,69,TR2.15,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
02/04/2019,3,2,a1.2,70,TR2.10,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
02/04/2019,3,2,a1.2,71,TR2.7,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
02/04/2019,3,2,a1.2,72,TR2.6,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
02/04/2019,3,2,a1.2,73,TR1.17,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
02/04/2019,3,2,a1.2,74,TR1.20,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
